serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAWE0HCGO,09/14/2016 12:00:00 AM,POKINOMETRY,91,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD # 316,LOS ANGELES,FA0171803,CA,90028,OW0178863,HAU'OLI INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,POKINOMETRY,ACTIVE,PR0164257
DAMYGBNSG,09/14/2016 12:00:00 AM,EGGSLUT,94,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY ST 101E1,LOS ANGELES,FA0149357,CA,90013,OW0114938,EGGSLUT GCM LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,EGGSLUT,ACTIVE,PR0135467
DAGN3VLP0,09/14/2016 12:00:00 AM,GLOW BIO,93,A,1,ROUTINE INSPECTION,EE0000951,7473 MELROSE AVE,LOS ANGELES,FA0025132,CA,90046,OW0019601,KIMBERLY'S GLOW LIC,RESTAURANT (0-30) SEATS LOW RISK,1630,GLOW BIO,INACTIVE,PR0046733
DAMDIHDCA,09/14/2016 12:00:00 AM,DENNY'S #1865,88,B,1,ROUTINE INSPECTION,EE0000946,400 N VERMONT AVE,LOS ANGELES,FA0044660,CA,90004,OW0009769,DENNY'S INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,DENNY'S #1865,ACTIVE,PR0003270
DABXBKE0P,09/14/2016 12:00:00 AM,FLOR BLANCA,85,B,1,ROUTINE INSPECTION,EE0001026,4400 S BROADWAY,LOS ANGELES,FA0062132,CA,90037,OW0037114,"VALDIVIA, EDWIN",RESTAURANT (0-30) SEATS HIGH RISK,1632,FLOR BLANCA,ACTIVE,PR0027778
DAB6LEOWQ,09/14/2016 12:00:00 AM,EDIBLE ARRANGEMENTS-1003,99,A,1,ROUTINE INSPECTION,EE0000869,3785 WILSHIRE BLVD STE 22,LOS ANGELES,FA0173691,CA,90010,OW0180446,CHOUDHRY EMPIRE INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EDIBLE ARRANGEMENTS-1003,ACTIVE,PR0166474
DAYNFWFRU,09/14/2016 12:00:00 AM,JOHNNY ROCKET,96,A,1,ROUTINE INSPECTION,EE0000955,6081 CENTER DR STE 109,LOS ANGELES,FA0031988,CA,90045,OW0016446,HOWARD HUGHES JR INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,JOHNNY ROCKET,INACTIVE,PR0022815
DADPRDGMQ,09/14/2016 12:00:00 AM,MCDONALD'S # 10129,99,A,1,ROUTINE INSPECTION,EE0000997,245 N SOTO ST,LOS ANGELES,FA0038675,CA,90033,OW0031567,R & B SANCHEZ DBA MCDONALD'S,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALD'S RESTAURANT,ACTIVE,PR0034972
DATYPRHYV,09/14/2016 12:00:00 AM,EL GALLO BAKERY,95,A,1,ROUTINE INSPECTION,EE0000740,4546 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0061425,CA,90022,OW0016544,"HUERTA, JESUS",RESTAURANT (0-30) SEATS MODERATE RISK,1631,EL GALLO BAKERY,ACTIVE,PR0042589
DASFA1BLG,09/14/2016 12:00:00 AM,GOLD'S GYM,93,A,1,ROUTINE INSPECTION,EE0000709,1016 N COLE AVE,LOS ANGELES,FA0062858,CA,90038,OW0025387,MUSCLEBOUND INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,GOLD'S GYM,ACTIVE,PR0011272
